VERBATIM,CODES
Los regalos por compras grandes me hacen sentir reconocido por mi lealtad.,9203
Los descuentos por fidelidad son un gran incentivo para seguir comprando.,9203
Las promociones exclusivas para socios son una gran ventaja.,9203
Siempre aprecio los obsequios que recibo al comprar cierta cantidad de cápsulas.,9203
Valoramos mucho el esfuerzo de Nespresso por cuidar a sus clientes.,9203
"El programa de puntos de la marca me permite obtener fantásticos obsequios. Mi pedido se ha retrasado dos veces consecutivas, y ya no confío en que llegue a tiempo.","9203,0102"
"Aprecio mucho las ofertas exclusivas para miembros del club de café, pero la demora en la entrega de las reparaciones es frustrante","9203,0403"
Los beneficios por ser cliente habitual hacen que me sienta valorado. La marca ha hecho un trabajo excepcional en diferenciarse con su marketing.,"9203,9202"
"Siempre me sorprenden con regalos especiales en mis compras regulares de café. Aunque tuve un problema con mi vertuo y lo llevé al servicio técnico, finalmente me lo devolvieron en buen estado y pude disfrutar de café nuevamente.","9203,9401"
Cada botella de plástico que reciclamos hace la diferencia.,9301
Valoro la responsabilidad ambiental de esta marca.,9301
Disfrutar de Nespresso es una forma deliciosa de apoyar la causa de la sostenibilidad.,9301
"Tengo una excelente forma de reciclar las cápsulas, ya que las recogen en Mercadona y las redirigen a ustedes.",9301
La compostación es otra forma efectiva de reducir los desechos.,9301
Me complace ver tantos esfuerzos para ser ecológicos.,9301
Encantado por recibir la bolsa de reciclaje. Estoy muy molesto porque el repartidor no entregó el paquete en el horario acordado.,"9301,0104"
"Hay suficientes puntos de reciclaje disponibles, pero el café no sale muy caliente; esa es la pega que encuentro.","9301,0208"
"Me siento completamente cómodo con el reciclaje. Además, el programa de puntos de la marca me permite obtener fantásticos obsequios.","9301,9203"
Valoración positiva por la rápida respuesta a mi reclamación al servicio técnico.,9401
Estoy muy contento con mi nueva máquina Vertuo Plus.,9401
Todo ha ido bien️ llevábamos tiempo que nos fallaba la cafetera y la hemos mandado al servicio técnico y nos han mandado cafetera de repuesto mientras la reparan. Aunque no la usaremos porque tenemos otra en casa del modelo anterior,9401
La máquina de sustitución fue de gran ayuda mientras reparaban la mía.,9401
"Mi cafetera está en reparación y prometieron proporcionarme una máquina de cortesía. En poco tiempo, llegó y mejoró mi experiencia.",9401
Mi máquina volvió del servicio técnico y ahora calienta perfectamente. Estoy satisfecho con su trabajo.,9401
"Mi máquina de café ha estado funcionando perfectamente desde la reparación. Sin embargo, el plan de suscripción resulta más complicado de lo que aparenta.","9401,0205"
"Después de la reparación, mi cafetera ha recuperado su presión adecuada, pero la atención que recibí en El Corte Inglés dejó mucho que desear.","9401,0601"
Me alegra que mi cafetera ya no haga ruido después de la reparación. Las máquinas de café son muy elegantes y fáciles de operar.,"9401,9201"
"Todo es perfecto: la app, el producto y la entrega.","9501,9201,9101"
Realizar pedidos en línea es un proceso rápido y sencillo.,9501
Los accesos sin problemas al sitio web siempre hacen que disfrute del café de esta marca en línea.,9501
Facilidad para hacer pedidos y rapidez en la entrega.,9501
"Los accesos sin problemas al sitio web son un alivio, no tengo que preocuparme por obstáculos.",9501
La página web de esta marca de café es tan funcional que aprovecho al máximo mi tiempo en ella.,9501
"Es un placer hacer un pedido en línea, ya que el proceso de compra es sencillo y agradable. No obstante, no puedo creer lo costosos que son estos productos; me parece un robo.","9501,0201"
La presencia de un excelente servicio en línea es admirable en esta era digital. ¡Están haciendo un gran trabajo! Excelente relación calidad-precio en sus productos.,"9501,9201"
"Cada vez que intento comprar en línea, todo funciona sin problemas en su sitio web. La fidelidad hacia la marca se ve recompensada con excelentes descuentos.","9501,9203"
"El sitio web de esta marca de café es un éxito total, los pagos en línea funcionan perfectamente. La mejora en la atención al cliente en las boutiques de Nespresso enriquece la imagen de la marca.","9501,9701"
"La atención al cliente en este stand es excepcional y mejora la experiencia del evento, lo mismo ocurre en El Corte Inglés.",9601
La promotora Conchi Vázquez en Media Markt Alcalá de Guadaíra fue la única que intentó ayudarme con este tema.,9601
El profesionalismo y la amabilidad de los representantes en El Corte Inglés son altamente apreciados.,9601
Mi vendedora en Media Markt demostró una amabilidad y experiencia excepcionales.,9601
La cortesía y profesionalismo de los representantes en El Corte Inglés son notables y crean una experiencia positiva.,9601
La actitud y entusiasmo de los dependientes en El Corte Inglés fortalece mi elección de compra.,9601
La atención recibida en El Corte Inglés de Diagonal fue excepcional. Los precios de estos productos son exorbitantes. No puedo permitirme comprarlos.,"9601,0201"
Me sorprende lo atentos y dedicados que son en tiendas que venden estos productos; es un ejemplo a seguir. Los gastos de envío deberían ser eliminados. Solo aumentan el costo de los productos.,"9601,0202"
"La atención al cliente de alta calidad en tiendas como Carrefour que ofrecen esta marca es un estándar constante. Experimenté problemas con el personal de atención al cliente, algunos parecían no saber cómo ayudar.","9601,0808"
"Es gratificante experimentar una atención tan sobresaliente en tiendas como Amazon, que ofrecen productos de esta marca. Además, las aplicaciones de esta marca de café son tan estables que nunca se bloquean.","9601,9501"
Visitar una boutique de Nespresso es una experiencia agradable gracias al ambiente y la profesionalidad del personal.,9701
"Valoro el trato, la diligencia y la amabilidad de la persona que nos atendió en Nespresso.",9701
"Trato excelente en tienda. Profesional, correcto, educado, amablem",9701
"Todo salió muy bien, desde el trato de la dependienta hasta la rapidez del servicio.",9701
El equipo de Nespresso en Alicante es de 10.,9701
"En la tienda Nespresso del centro de la ciudad, siempre recibo consejos excelentes y un trato cordial.",9701
Los clientes experimentan una experiencia excepcional gracias a la atención y el interés genuino de los dependientes en las tiendas de Nespresso.,9701
"Cada vez que visito la tienda Nespresso, me impresiona la limpieza y el orden del lugar. Compré una cafetera y cuando llegó, la caja estaba rota y el asa de la cafetera estaba partida en dos. ¿Qué tipo de servicio es este?","9701,0101"
"El compromiso y la dedicación de los dependientes en las tiendas de Nespresso son evidentes y son un punto fuerte constante. La caferera vertuo no me gusta, sale el cafe frio","9701,0207"
Visitar la tienda Nespresso es como un paraíso para los amantes del café como yo.,9702
Siempre me voy de la boutique de Nespresso inspirado para experimentar más con el café en casa.,9702
Probar nuevos blends y orígenes me ha ampliado mis horizontes de café.,9702
Nunca me canso de probar los diferentes cafés en Nespresso.,9702
La degustación es un recordatorio constante de por qué amo el café de Nespresso.,9702
Siempre encuentro un nuevo sabor favorito cada vez que participo en una sesión de degustación.,9702
"Disfruté mucho probando la variedad limitada de café, una experiencia única que siempre busco. Los anuncios son engañosos. La empresa promete cosas que no cumple.","9702,0203"
La degustación de cápsulas nuevas me ayudó a descubrir mi nuevo sabor favorito. Los accesorios no siempre son compatibles con todos los modelos.,"9702,0208"
La variedad de sabores disponibles para degustar siempre me sorprende gratamente. La presencia de un excelente servicio en línea es admirable en esta era digital. ¡Están haciendo un gran trabajo!,"9702,9501"
"Siempre me sorprende lo buenos que son los sabores que tienen. Además, los empleados en las tiendas de Nespresso son súper amables y eficientes, lo cual es genial.","9702,9701"
Valoro mucho el trato y la facilidad que encuentro en cada interacción con Nespresso.,9801
Valoran y responden objetivamente a los problemas.,9801
Una atención estupenda y con respuesta y solución inmediata a mi problema.,9801
"Tuve un problema con el envío de mi pedido, pero se resolvió en menos de 24 horas gracias a su eficacia.",9801
Mi incidente fue resuelto de manera profesional y perfecta.,9801
Buen trato y calidad del producto,"9801,9201"
"La atención fue estupenda.la calidad de los productos, como siempre, muy buena.","9801,9201"
"Cada vez que interactúo con Nespresso, la atención y el servicio son perfectos. El servicio técnico ha solucionado el problema de mi cafetera con las cápsulas, y ahora funciona sin problemas.","9801,9401"
"La rapidez, amabilidad y la solución eficaz a cualquier problema son aspectos que valoro mucho de Nespresso. La cortesía y profesionalismo en tiendas como El Corte Inglés que venden estos productos es excepcional.","9801,9601"
Es la mejor manera de tomar buen café y rápido.,9201
Lo recomendaría si usan cápsulas de café.,9995
Ofreceis buen servicio en general.,9801
Todo es mejorable,208
Yo siempre compro aquí,9995
Vinieron cápsulas en mal estado . Ni me las han devuelto . El pedido tarda siempre bastante más de lo que pone,"101, 0102"
"Tuve un problema significativo con la entrega de Seur: mi pedido de 226 euros llegó reprecintado y mal organizado, con varios paquetes de café abiertos o faltantes y una taza perdida.","101, 0104"
Una de las cajas de cápsulas en mi último pedido llegó con las cápsulas aplastadas y no recibí ninguna solución por parte de la empresa.,"101, 0808"
